preCost,cost,itemDescription
0.492,4.92,pork
0.671,6.71,berries
0.795,7.95,soda
0.525,5.25,berries
0.552,5.52,fruit/vegetable juice
0.262,2.62,citrus fruit
0.581,5.81,pork
0.44,4.4,detergent
0.221,2.21,grapes
0.576,5.76,sausage
0.232,2.32,chicken
0.687,6.87,whole milk
0.734,7.34,citrus fruit
0.848,8.48,soda
0.678,6.78,sausage
0.997,9.97,frankfurter
0.2,2,sausage
0.709,7.09,soda
0.213,2.13,rolls/buns
0.687,6.87,beef
0.646,6.46,whole milk
0.977,9.77,processed cheese
0.428,4.28,tropical fruit
0.209,2.09,frankfurter
0.584,5.84,packaged fruit/vegetables
0.208,2.08,whole milk
0.49,4.9,berries
0.745,7.45,citrus fruit
0.019,0.19,tropical fruit
0.176,1.76,hamburger meat
0.125,1.25,hamburger meat
0.154,1.54,whole milk
0.186,1.86,fish
0.418,4.18,frankfurter
0.893,8.93,packaged fruit/vegetables
0.496,4.96,pastry
0.252,2.52,other vegetables
0.441,4.41,misc. beverages
0.157,1.57,frankfurter
0.008,0.08,sparkling wine
0.199,1.99,specialty bar
0.223,2.23,sausage
0.029,0.29,curd cheese
0.831,8.31,frankfurter
0.706,7.06,whole milk
0.012,0.12,newspapers
0.488,4.88,berries
0.481,4.81,curd
0.114,1.14,tropical fruit
0.93,9.3,soda
0.597,5.97,rolls/buns
0.76,7.6,canned beer
0.383,3.83,canned beer
0.747,7.47,frankfurter
0.766,7.66,other vegetables
0.414,4.14,whole milk
0.385,3.85,whole milk
0.957,9.57,citrus fruit
0.489,4.89,frankfurter
0.912,9.12,frankfurter
0.666,6.66,butter milk
0.883,8.83,hamburger meat
0.264,2.64,pasta
0.055,0.55,other vegetables
0.196,1.96,sausage
0.544,5.44,rolls/buns
0.818,8.18,grapes
0.82,8.2,root vegetables
0.516,5.16,coffee
0.641,6.41,popcorn
0.483,4.83,whole milk
0.676,6.76,tropical fruit
0.82,8.2,beef
0.143,1.43,whole milk
0.709,7.09,frankfurter
0.542,5.42,tropical fruit
0.198,1.98,canned beer
0.157,1.57,finished products
0.372,3.72,beverages
0.484,4.84,hamburger meat
0.31,3.1,whole milk
0.731,7.31,finished products
0.414,4.14,other vegetables
0.659,6.59,ham
0.763,7.63,other vegetables
0.708,7.08,curd
0.384,3.84,bottled beer
0.973,9.73,curd
0.623,6.23,whole milk
0.282,2.82,whole milk
0.686,6.86,dessert
0.436,4.36,sausage
0.077,0.77,other vegetables
0.132,1.32,ham
0.99,9.9,other vegetables
0.024,0.24,other vegetables
0.11,1.1,soda
0.157,1.57,herbs
0.677,6.77,frankfurter
0.233,2.33,rolls/buns
0.274,2.74,curd
0.399,3.99,frankfurter
0.47,4.7,other vegetables
0.712,7.12,dog food
0.171,1.71,specialty bar
0.599,5.99,curd
0.898,8.98,frankfurter
0.422,4.22,soda
0.856,8.56,beef
0.562,5.62,canned beer
0.547,5.47,pork
0.664,6.64,frankfurter
0.687,6.87,sausage
0.24,2.4,canned beer
0.003,0.03,specialty chocolate
0.441,4.41,curd
0.416,4.16,canned beer
0.128,1.28,whole milk
0,0,rolls/buns
0.497,4.97,pork
0.375,3.75,citrus fruit
0.363,3.63,pot plants
0.111,1.11,rolls/buns
0.77,7.7,butter
0.812,8.12,condensed milk
0.87,8.7,sausage
0.688,6.88,whole milk
0.687,6.87,sausage
0.56,5.6,beverages
0.427,4.27,beverages
0.376,3.76,bottled water
0.196,1.96,newspapers
0.613,6.13,cleaner
0.666,6.66,sausage
0.356,3.56,newspapers
0.289,2.89,sausage
0.412,4.12,misc. beverages
0.012,0.12,white wine
0.666,6.66,sausage
0.432,4.32,meat
0.088,0.88,frankfurter
0.954,9.54,ice cream
0.559,5.59,canned beer
0.92,9.2,tropical fruit
0.235,2.35,meat
0.014,0.14,whole milk
0.039,0.39,sausage
0.023,0.23,frankfurter
0.723,7.23,meat
0.638,6.38,root vegetables
0.021,0.21,root vegetables
0.162,1.62,whole milk
0.849,8.49,citrus fruit
0.288,2.88,citrus fruit
0.358,3.58,other vegetables
0.561,5.61,citrus fruit
0.893,8.93,sausage
0.862,8.62,frankfurter
0.974,9.74,hard cheese
0.596,5.96,cream cheese
0.998,9.98,turkey
0.824,8.24,pork
0.568,5.68,whole milk
0.715,7.15,rolls/buns
0.691,6.91,sausage
0.627,6.27,ice cream
0.307,3.07,liquor
0.798,7.98,pip fruit
0.198,1.98,root vegetables
0.791,7.91,soda
0.859,8.59,soda
0.608,6.08,sausage
0.583,5.83,root vegetables
0.177,1.77,pork
0.012,0.12,pork
0.283,2.83,chocolate
0.307,3.07,fruit/vegetable juice
0.046,0.46,pickled vegetables
0.42,4.2,bottled water
0.007,0.07,frankfurter
0.74,7.4,tropical fruit
0.762,7.62,canned beer
0.518,5.18,root vegetables
0.524,5.24,meat
0.366,3.66,frankfurter
0.76,7.6,tropical fruit
0.708,7.08,tropical fruit
0.424,4.24,citrus fruit
0.114,1.14,hamburger meat
0.656,6.56,chicken
0.193,1.93,chicken
0.046,0.46,frankfurter
0.738,7.38,canned beer
0.198,1.98,turkey
0.554,5.54,packaged fruit/vegetables
0.541,5.41,pasta
0.203,2.03,citrus fruit
0.162,1.62,sausage
0.925,9.25,whole milk
0.96,9.6,canned beer
0.761,7.61,citrus fruit
0.328,3.28,liquor (appetizer)
0.332,3.32,citrus fruit
0.951,9.51,sausage
0.459,4.59,chicken
0.634,6.34,hamburger meat
0.852,8.52,sausage
0.144,1.44,beef
0.9,9,citrus fruit
0.772,7.72,UHT-milk
0.405,4.05,candy
0.616,6.16,newspapers
0.85,8.5,beef
0.543,5.43,sausage
0.844,8.44,frankfurter
0.85,8.5,canned beer
0.206,2.06,bottled beer
0.173,1.73,onions
0.959,9.59,tropical fruit
0.376,3.76,bottled water
0.16,1.6,beef
0.607,6.07,sausage
0.494,4.94,hair spray
0.753,7.53,chicken
0.396,3.96,pork
0.224,2.24,ice cream
0.987,9.87,meat
0.098,0.98,other vegetables
0.846,8.46,bottled water
0.538,5.38,tropical fruit
0.99,9.9,photo/film
0.622,6.22,sausage
0.515,5.15,grapes
0.007,0.07,domestic eggs
0.077,0.77,rolls/buns
0.236,2.36,tropical fruit
0.149,1.49,chicken
0.548,5.48,frankfurter
0.275,2.75,berries
0.03,0.3,margarine
0.649,6.49,tropical fruit
0.838,8.38,ham
0.669,6.69,hamburger meat
0.084,0.84,yogurt
0.252,2.52,soda
0.168,1.68,yogurt
0.381,3.81,soda
0.153,1.53,bottled water
0.051,0.51,sausage
0.507,5.07,citrus fruit
0.128,1.28,shopping bags
0.151,1.51,newspapers
0.691,6.91,frankfurter
0.774,7.74,sausage
0.235,2.35,frankfurter
0.337,3.37,salt
0.74,7.4,oil
0.065,0.65,curd
0.541,5.41,other vegetables
0.361,3.61,citrus fruit
0.625,6.25,frankfurter
0.527,5.27,root vegetables
0.261,2.61,tropical fruit
0.369,3.69,beef
0.53,5.3,berries
0.271,2.71,canned beer
0.503,5.03,whipped/sour cream
0.157,1.57,root vegetables
0.608,6.08,whole milk
0.676,6.76,beef
0.222,2.22,frozen vegetables
0.546,5.46,rolls/buns
0.262,2.62,whole milk
0.518,5.18,whole milk
0.076,0.76,citrus fruit
0.348,3.48,pastry
0.558,5.58,frankfurter
0.94,9.4,tropical fruit
0.159,1.59,frankfurter
0.846,8.46,berries
0.218,2.18,rolls/buns
0.155,1.55,root vegetables
0.535,5.35,yogurt
0.52,5.2,other vegetables
0.637,6.37,berries
0.875,8.75,berries
0.484,4.84,other vegetables
0.925,9.25,rolls/buns
0.01,0.1,ham
0.003,0.03,whole milk
0.262,2.62,tropical fruit
0.343,3.43,bottled water
0.276,2.76,butter milk
0.171,1.71,newspapers
0.05,0.5,coffee
0.246,2.46,bottled beer
0.998,9.98,onions
0.787,7.87,hamburger meat
0.864,8.64,sausage
0.413,4.13,hard cheese
0.045,0.45,sausage
0.699,6.99,hamburger meat
0.808,8.08,onions
0.349,3.49,coffee
0.848,8.48,shopping bags
0.901,9.01,yogurt
0.537,5.37,soda
0.915,9.15,sliced cheese
0.309,3.09,sausage
0.592,5.92,yogurt
0.316,3.16,domestic eggs
0.467,4.67,whole milk
0.277,2.77,meat
0.002,0.02,dish cleaner
0.389,3.89,other vegetables
0.604,6.04,whole milk
0.669,6.69,other vegetables
0.003,0.03,tropical fruit
0.731,7.31,baking powder
0.533,5.33,specialty bar
0.111,1.11,ice cream
0.653,6.53,frankfurter
0.814,8.14,canned beer
0.514,5.14,bottled water
0.021,0.21,other vegetables
0.065,0.65,citrus fruit
0.006,0.06,sausage
0.925,9.25,domestic eggs
0.06,0.6,pork
0.714,7.14,specialty cheese
0.25,2.5,pork
0.615,6.15,beef
0.813,8.13,other vegetables
0.078,0.78,chicken
0.28,2.8,soda
0.258,2.58,whole milk
0.92,9.2,rolls/buns
0.982,9.82,bottled beer
0.208,2.08,root vegetables
0.298,2.98,pastry
0.475,4.75,berries
0.155,1.55,citrus fruit
0.298,2.98,whole milk
0.279,2.79,soda
0.327,3.27,bottled water
0.697,6.97,tropical fruit
0.898,8.98,salty snack
0.06,0.6,bottled water
0.774,7.74,chocolate
0.146,1.46,citrus fruit
0.737,7.37,bottled water
0.348,3.48,onions
0.452,4.52,dessert
0.627,6.27,beef
0.465,4.65,rolls/buns
0.751,7.51,beef
0.956,9.56,soda
0.554,5.54,coffee
0.165,1.65,rolls/buns
0.091,0.91,pork
0.624,6.24,soda
0.858,8.58,sausage
0.459,4.59,beef
0.702,7.02,whole milk
0.392,3.92,pork
0.478,4.78,berries
0.7,7,sausage
0.871,8.71,bottled water
0.734,7.34,tropical fruit
0.753,7.53,herbs
0.086,0.86,yogurt
0.996,9.96,Instant food products
0.612,6.12,specialty chocolate
0.786,7.86,coffee
0.11,1.1,bottled beer
0.224,2.24,beef
0.263,2.63,whole milk
0.911,9.11,frankfurter
0.381,3.81,frankfurter
0.469,4.69,other vegetables
0.253,2.53,frankfurter
0.934,9.34,whole milk
0.309,3.09,frankfurter
0.973,9.73,other vegetables
0.192,1.92,bottled water
0.605,6.05,pork
0.5,5,bottled water
0.706,7.06,other vegetables
0.89,8.9,hamburger meat
0.204,2.04,hamburger meat
0.019,0.19,shopping bags
0.124,1.24,whole milk
0.16,1.6,ice cream
0.382,3.82,pastry
0.046,0.46,ham
0.154,1.54,frankfurter
0.982,9.82,sausage
0.445,4.45,bottled beer
0.718,7.18,bottled water
0.081,0.81,meat
0.226,2.26,dessert
0.749,7.49,other vegetables
0.408,4.08,beverages
0.506,5.06,ham
0.494,4.94,specialty bar
0.983,9.83,brown bread
0.831,8.31,whole milk
0.77,7.7,rolls/buns
0.856,8.56,bottled beer
0.821,8.21,pet care
0.531,5.31,citrus fruit
0.265,2.65,pork
0.403,4.03,other vegetables
0.016,0.16,white wine
0.34,3.4,whole milk
0.555,5.55,pip fruit
0.643,6.43,sugar
0.183,1.83,tropical fruit
0.441,4.41,root vegetables
0.177,1.77,soda
0.675,6.75,whole milk
0.035,0.35,tropical fruit
0.171,1.71,white bread
0.866,8.66,brown bread
0.749,7.49,tropical fruit
0.861,8.61,domestic eggs
0.4,4,coffee
0.619,6.19,soda
0.426,4.26,whole milk
0.839,8.39,bottled beer
0.088,0.88,pork
0.05,0.5,other vegetables
0.818,8.18,yogurt
0.033,0.33,sparkling wine
0.005,0.05,bottled water
0.299,2.99,citrus fruit
0.38,3.8,hamburger meat
0.039,0.39,packaged fruit/vegetables
0.016,0.16,other vegetables
0.509,5.09,soda
0.384,3.84,whole milk
0.61,6.1,herbs
0.655,6.55,citrus fruit
0.271,2.71,misc. beverages
0.937,9.37,female sanitary products
0.168,1.68,soda
0.899,8.99,tropical fruit
0.277,2.77,soda
0.137,1.37,white bread
0.258,2.58,coffee
0.617,6.17,tropical fruit
0.864,8.64,pork
0.634,6.34,citrus fruit
0.728,7.28,frankfurter
0.619,6.19,frankfurter
0.763,7.63,frankfurter
0.285,2.85,other vegetables
0.184,1.84,yogurt
0.011,0.11,sausage
0.52,5.2,whole milk
0.2,2,pip fruit
0.998,9.98,whole milk
0.037,0.37,root vegetables
0.962,9.62,onions
0.981,9.81,specialty chocolate
0.032,0.32,hamburger meat
0.743,7.43,photo/film
0.003,0.03,rolls/buns
0.575,5.75,canned beer
0.854,8.54,canned beer
0.112,1.12,other vegetables
0.916,9.16,canned beer
0.588,5.88,curd
0.802,8.02,butter
0.846,8.46,other vegetables
0.263,2.63,whole milk
0.821,8.21,beef
0.088,0.88,sausage
0.674,6.74,soda
0.446,4.46,fruit/vegetable juice
0.621,6.21,rolls/buns
0.296,2.96,pip fruit
0.832,8.32,frozen vegetables
0.28,2.8,beverages
0.086,0.86,hamburger meat
0.123,1.23,root vegetables
0.774,7.74,canned beer
0.761,7.61,frozen vegetables
0.031,0.31,canned beer
0.512,5.12,newspapers
0.373,3.73,rolls/buns
0.934,9.34,hamburger meat
0.43,4.3,pip fruit
0.734,7.34,canned beer
0.063,0.63,grapes
0.049,0.49,root vegetables
0.087,0.87,citrus fruit
0.767,7.67,cling film/bags
0.346,3.46,frankfurter
0.43,4.3,whole milk
0.868,8.68,pork
0.204,2.04,chicken
0.697,6.97,sausage
0.102,1.02,specialty bar
0.987,9.87,whipped/sour cream
0.993,9.93,root vegetables
0.077,0.77,rolls/buns
0.996,9.96,other vegetables
0.695,6.95,citrus fruit
0.101,1.01,whole milk
0.245,2.45,frankfurter
0.976,9.76,coffee
0.638,6.38,ham
0.042,0.42,canned beer
0.617,6.17,canned beer
0.438,4.38,canned beer
0.626,6.26,pip fruit
0.719,7.19,pork
0.862,8.62,soap
0.58,5.8,pip fruit
0.932,9.32,beef
0.564,5.64,sausage
0.469,4.69,frozen chicken
0.474,4.74,soda
0.497,4.97,tropical fruit
0.666,6.66,other vegetables
0.369,3.69,beef
0.261,2.61,meat
0.806,8.06,meat
0.174,1.74,bottled water
0.204,2.04,rolls/buns
0.833,8.33,pastry
0.687,6.87,pork
0.08,0.8,pip fruit
0.174,1.74,beef
0.12,1.2,beef
0.811,8.11,rolls/buns
0.419,4.19,citrus fruit
0.178,1.78,meat
0.702,7.02,beverages
0.524,5.24,beef
0.728,7.28,ham
0.21,2.1,hamburger meat
0.559,5.59,beef
0.167,1.67,beef
0.003,0.03,root vegetables
0.909,9.09,citrus fruit
0.874,8.74,yogurt
0.347,3.47,tropical fruit
0.783,7.83,frankfurter
0.706,7.06,beef
0.422,4.22,shopping bags
0.826,8.26,canned beer
0.653,6.53,rolls/buns
0.712,7.12,other vegetables
0.802,8.02,hamburger meat
0.182,1.82,hamburger meat
0.871,8.71,frankfurter
0.029,0.29,bottled beer
0.012,0.12,tropical fruit
0.355,3.55,soda
0.137,1.37,frankfurter
0.951,9.51,chicken
0.472,4.72,coffee
0.496,4.96,whole milk
0.079,0.79,margarine
0.585,5.85,tropical fruit
0.922,9.22,meat
0.11,1.1,cream cheese
0.206,2.06,newspapers
0.983,9.83,rolls/buns
0.841,8.41,citrus fruit
0.63,6.3,whole milk
0.617,6.17,frankfurter
0.194,1.94,ham
0.908,9.08,frankfurter
0.613,6.13,sausage
0.081,0.81,domestic eggs
0.464,4.64,whole milk
0.564,5.64,rolls/buns
0.956,9.56,whole milk
0.408,4.08,sausage
0.574,5.74,curd
0.329,3.29,bottled water
0.53,5.3,beef
0.02,0.2,frankfurter
0.087,0.87,chicken
0.172,1.72,sausage
0.879,8.79,pork
0.689,6.89,yogurt
0.286,2.86,whole milk
0.215,2.15,frankfurter
0.85,8.5,beef
0.993,9.93,pip fruit
0.719,7.19,sausage
0.903,9.03,pastry
0.742,7.42,chicken
0.375,3.75,root vegetables
0.601,6.01,whole milk
0.125,1.25,detergent
0.665,6.65,rolls/buns
0.639,6.39,house keeping products
0.704,7.04,yogurt
0.728,7.28,tropical fruit
0.744,7.44,tropical fruit
0.225,2.25,curd
0.75,7.5,beef
0.24,2.4,whole milk
0.956,9.56,pork
0.233,2.33,other vegetables
0.793,7.93,rolls/buns
0.067,0.67,frankfurter
0.646,6.46,yogurt
0.561,5.61,whole milk
0.764,7.64,bottled water
0.579,5.79,frankfurter
0.001,0.01,rolls/buns
0.736,7.36,whole milk
0.001,0.01,rolls/buns
0.534,5.34,chicken
0.578,5.78,tropical fruit
0.152,1.52,sausage
0.563,5.63,sausage
0.238,2.38,frankfurter
0.152,1.52,UHT-milk
0.789,7.89,rolls/buns
0.448,4.48,canned beer
0.327,3.27,yogurt
0.872,8.72,whipped/sour cream
0.29,2.9,rolls/buns
0.122,1.22,rolls/buns
0.693,6.93,beverages
0.99,9.9,rolls/buns
1,10,rolls/buns
0.218,2.18,bottled beer
0.732,7.32,citrus fruit
0.057,0.57,bottled water
0.176,1.76,pastry
0.428,4.28,domestic eggs
0.135,1.35,beef
0.811,8.11,spread cheese
0.351,3.51,tropical fruit
0.918,9.18,packaged fruit/vegetables
0.859,8.59,whole milk
0.907,9.07,meat
0.625,6.25,onions
0.324,3.24,frankfurter
0.916,9.16,beef
0.27,2.7,beef
0.625,6.25,sausage
0.162,1.62,chicken
0.31,3.1,canned beer
0.8,8,sausage
0.914,9.14,tropical fruit
0.303,3.03,frankfurter
0.294,2.94,sausage
0.161,1.61,beef
0.386,3.86,tropical fruit
0.705,7.05,yogurt
0.096,0.96,frankfurter
0.515,5.15,bottled beer
0.354,3.54,grapes
0.643,6.43,beverages
0.295,2.95,curd
0.093,0.93,ice cream
0.88,8.8,sausage
0.365,3.65,other vegetables
0.455,4.55,dessert
0.588,5.88,decalcifier
0.596,5.96,canned beer
0.062,0.62,coffee
0.468,4.68,berries
0.613,6.13,pork
0.964,9.64,frankfurter
0.985,9.85,pork
0.583,5.83,frankfurter
0.117,1.17,frozen dessert
0.154,1.54,chicken
0.868,8.68,vinegar
0.365,3.65,rolls/buns
0.022,0.22,whole milk
0.708,7.08,pork
0.208,2.08,rolls/buns
0.167,1.67,grapes
0.492,4.92,frankfurter
0.581,5.81,finished products
0.54,5.4,onions
0.836,8.36,tropical fruit
0.935,9.35,other vegetables
0.064,0.64,ham
0.24,2.4,other vegetables
0.769,7.69,curd
0.677,6.77,sausage
0.599,5.99,canned beer
0.392,3.92,ham
0.329,3.29,packaged fruit/vegetables
0.183,1.83,meat
0.493,4.93,whole milk
0.279,2.79,canned beer
0.735,7.35,chicken
0.488,4.88,rolls/buns
0.8,8,pet care
0.071,0.71,root vegetables
0.78,7.8,pastry
0.947,9.47,frankfurter
0.287,2.87,chicken
0.735,7.35,frozen dessert
0.385,3.85,citrus fruit
0.044,0.44,sausage
0.995,9.95,root vegetables
0.103,1.03,root vegetables
0.412,4.12,bottled beer
0.475,4.75,frankfurter
0.831,8.31,root vegetables
0.207,2.07,berries
0.32,3.2,hamburger meat
0.985,9.85,tropical fruit
0.986,9.86,frankfurter
0.358,3.58,frankfurter
0.47,4.7,soda
0.283,2.83,ice cream
0.564,5.64,beef
0.91,9.1,whole milk
0.363,3.63,pork
0.789,7.89,whole milk
0.795,7.95,bottled beer
0.075,0.75,pork
0.407,4.07,root vegetables
0.91,9.1,canned beer
0.478,4.78,citrus fruit
0.008,0.08,pip fruit
0.057,0.57,root vegetables
0.116,1.16,tropical fruit
0.529,5.29,beef
0.362,3.62,chicken
0.075,0.75,citrus fruit
0.564,5.64,meat
0.839,8.39,cream cheese
0.547,5.47,citrus fruit
0.021,0.21,specialty bar
0.507,5.07,meat
0.692,6.92,citrus fruit
0.244,2.44,frankfurter
0.876,8.76,citrus fruit
0.288,2.88,turkey
0.576,5.76,citrus fruit
0.023,0.23,sausage
0.445,4.45,newspapers
0.149,1.49,whole milk
0.979,9.79,yogurt
0.904,9.04,yogurt
0.884,8.84,bottled water
0.166,1.66,berries
0.342,3.42,packaged fruit/vegetables
0.886,8.86,frankfurter
0.923,9.23,nuts/prunes
0.874,8.74,citrus fruit
0.838,8.38,beef
0.661,6.61,whole milk
0.662,6.62,other vegetables
0.165,1.65,beef
0.611,6.11,fish
0.125,1.25,other vegetables
0.667,6.67,tropical fruit
0.037,0.37,coffee
0.002,0.02,sausage
0.92,9.2,meat
0.337,3.37,chicken
0.4,4,berries
0.054,0.54,frozen meals
0.726,7.26,whipped/sour cream
0.619,6.19,beef
0.501,5.01,chicken
0.503,5.03,chicken
0.307,3.07,beef
0.469,4.69,packaged fruit/vegetables
0.673,6.73,sugar
0.978,9.78,frankfurter
0.921,9.21,berries
0.945,9.45,bottled water
0.908,9.08,sausage
0.557,5.57,whole milk
0.72,7.2,ice cream
0.062,0.62,frankfurter
0.621,6.21,root vegetables
0.676,6.76,sausage
0.258,2.58,sausage
0.541,5.41,beef
0.725,7.25,fruit/vegetable juice
0.255,2.55,sugar
0.137,1.37,berries
0.199,1.99,yogurt
0.423,4.23,pork
0.112,1.12,bottled beer
0.074,0.74,curd
0.021,0.21,beef
0.924,9.24,pork
0.918,9.18,white bread
0.257,2.57,grapes
0.89,8.9,potato products
0.965,9.65,root vegetables
0.462,4.62,chicken
0.458,4.58,chicken
0.543,5.43,fish
0.161,1.61,canned beer
0.53,5.3,other vegetables
0.035,0.35,chicken
0.76,7.6,other vegetables
0.215,2.15,tropical fruit
0.527,5.27,whole milk
0.079,0.79,beef
0.104,1.04,sausage
0.966,9.66,whole milk
0.211,2.11,rolls/buns
0.926,9.26,citrus fruit
0.543,5.43,whole milk
0.852,8.52,pastry
0.777,7.77,tropical fruit
0.911,9.11,sliced cheese
0.89,8.9,soda
0.354,3.54,ham
0.127,1.27,salty snack
0.914,9.14,whole milk
0.284,2.84,root vegetables
0.447,4.47,soda
0.187,1.87,curd
0.817,8.17,bottled water
0.336,3.36,packaged fruit/vegetables
0.798,7.98,tropical fruit
0.249,2.49,ham
0.274,2.74,pork
0.589,5.89,beverages
0.382,3.82,sausage
0.754,7.54,sausage
0.458,4.58,root vegetables
0.477,4.77,whole milk
0.61,6.1,frankfurter
0.533,5.33,soda
0.159,1.59,soda
0.693,6.93,frankfurter
0.576,5.76,berries
0.83,8.3,canned beer
0.342,3.42,frankfurter
0.992,9.92,frankfurter
0.393,3.93,berries
0.836,8.36,frankfurter
0.993,9.93,newspapers
0.925,9.25,frozen fish
0.94,9.4,tropical fruit
0.166,1.66,beef
0.901,9.01,rolls/buns
0.892,8.92,specialty chocolate
0.901,9.01,sparkling wine
0.12,1.2,citrus fruit
0.272,2.72,onions
0.976,9.76,whole milk
0.414,4.14,photo/film
0.887,8.87,hamburger meat
0.384,3.84,other vegetables
0.591,5.91,whole milk
0.765,7.65,pork
0.638,6.38,tropical fruit
0.469,4.69,chicken
0.859,8.59,other vegetables
0.623,6.23,sausage
0.915,9.15,whole milk
0.267,2.67,rolls/buns
0.947,9.47,hygiene articles
0.409,4.09,ice cream
0.201,2.01,curd
0.052,0.52,whole milk
0.148,1.48,onions
0.794,7.94,finished products
0.386,3.86,salt
0.833,8.33,tropical fruit
0.318,3.18,other vegetables
0.784,7.84,chocolate
0.752,7.52,ice cream
0.155,1.55,tropical fruit
0.068,0.68,frankfurter
0.264,2.64,butter
0.166,1.66,other vegetables
0.965,9.65,tropical fruit
0.849,8.49,citrus fruit
0.906,9.06,UHT-milk
0.364,3.64,beef
0.784,7.84,curd
0.636,6.36,citrus fruit
0.38,3.8,yogurt
0.777,7.77,bottled beer
0.448,4.48,grapes
0.854,8.54,pork
0.906,9.06,sausage
0.237,2.37,frankfurter
0.893,8.93,artif. sweetener
0.138,1.38,frankfurter
0.728,7.28,pip fruit
0.928,9.28,frankfurter
0.583,5.83,whole milk
0.038,0.38,domestic eggs
0.594,5.94,packaged fruit/vegetables
0.819,8.19,chicken
0.963,9.63,pork
0.6,6,citrus fruit
0.645,6.45,light bulbs
0.377,3.77,cream cheese
0.483,4.83,sausage
0.038,0.38,citrus fruit
0.881,8.81,other vegetables
0.455,4.55,chicken
0.206,2.06,ice cream
0.733,7.33,pork
0.717,7.17,pork
0.968,9.68,onions
0.29,2.9,tropical fruit
0.443,4.43,whipped/sour cream
0.145,1.45,berries
0.276,2.76,berries
0.922,9.22,rolls/buns
0.633,6.33,ice cream
0.329,3.29,coffee
0.508,5.08,whole milk
0.388,3.88,whole milk
0.274,2.74,citrus fruit
0.132,1.32,beef
0.672,6.72,pork
0.955,9.55,turkey
0.371,3.71,margarine
0.995,9.95,butter milk
0.823,8.23,beef
0.122,1.22,bottled water
0.846,8.46,pip fruit
0.923,9.23,whole milk
0.378,3.78,chocolate
0.67,6.7,frankfurter
0.985,9.85,whole milk
0.035,0.35,sausage
0.32,3.2,grapes
0.516,5.16,brown bread
0.868,8.68,root vegetables
0.735,7.35,UHT-milk
0.096,0.96,onions
0.475,4.75,beef
0.485,4.85,pork
0.407,4.07,canned beer
0.834,8.34,yogurt
0.023,0.23,yogurt
0.622,6.22,pip fruit
0.431,4.31,meat
0.332,3.32,coffee
0.884,8.84,bottled water
0.438,4.38,bottled beer
0.391,3.91,sausage
0.965,9.65,shopping bags
0.196,1.96,pork
0.976,9.76,frankfurter
0.385,3.85,ice cream
0.217,2.17,root vegetables
0.958,9.58,sausage
0.263,2.63,sausage
0.869,8.69,root vegetables
0.937,9.37,canned vegetables
0.282,2.82,tropical fruit
0.017,0.17,grapes
0.687,6.87,whole milk
0.64,6.4,frankfurter
0.849,8.49,dessert
0.981,9.81,shopping bags
0.382,3.82,butter
0.657,6.57,frankfurter
0.251,2.51,pork
0.285,2.85,whole milk
0.968,9.68,brown bread
0.716,7.16,frozen fish
0.681,6.81,soda
